Prefixes,Suffixes,Compounds,Compounds split in 2,Familiar Words (DaleChall),
ornith-,,spellbound,spell-bound,golf,
ornitho-,,spoilsport,spoil-sport,gone,
oro-,,sportscast,sport-cast,good,
orth-,,sportscaster,sport-caster,good-by,
ortho-,,sportsman,sports-man,goodbye,
os-,,sportsmanship,sports-man-ship,goodies,
Osco-,,sportswoman,sports-woman,goodness,
osmio-,,sportswriter,sports-writer,goose,
osmo-,,spotlight,spot-light,got,
osseo-,,springboard,spring-board,gotten,
ossi-,,springtime,spring-time,government,
osteo-,,spyglass,spy-glass,gown,
ostreo-,,stagecoach,stage-coach,grab,
ot-,,staircase,stair-case,grace,
oto-,,stairway,stair-way,grade,
out-,,standby,stand-by,grain,
over-,,standoff,stand-off,grand,
ovi-,,standpipe,stand-pipe,grandchild,
ovo-,,standstill,stand-still,granddaughter,
ox-,,starboard,star-board,grandfather,
oxa-,,starfish,star-fish,grandma,
oxal-,,stargazer,star-gazer,grandmother,
oxalo-,,stargazing,star-gazing,grandpa,
oxaza-,,starlight,star-light,grandson,
oxi-,,starship,star-ship,grandstand,
oxo-,,startup,start-up,grape,
oxy-,,stateside,state-side,grapefruit,
p-,,statesman,states-man,grass,
P-,,stateswoman,states-woman,grasshopper,
pachy-,,steamboat,steam-boat,grave,
paedo-,,steamroller,steam-roller,gravel,
p�do-,,steamship,steam-ship,graveyard,
Pak-,,steeplechase,steeple-chase,gravy,
Pako-,,stepbrother,step-brother,gray,
palae-,,stepchild,step-child,graze,
pal�-,,stepdaughter,step-daughter,grease,
palaeo-,,stepfather,step-father,greasy,
pal�o-,,stepladder,step-ladder,great,
palato-,,stepmother,step-mother,greedy,
pale-,,stepparent,step-parent,green,
paleo-,,steppingstone,stepping-stone,greens,
pali-,,stepsister,step-sister,greet,
palin-,,stepson,step-son,grew,
palladio-,,stingray,sting-ray,grey,
pallado-,,stockbroker,stock-broker,greyhound,
palyno-,,stockholder,stock-holder,grill,
pan-,,stockpile,stock-pile,grin,
pancreat-,,stomachache,stomach-ache,grind,
pancreatico-,,stonewall,stone-wall,grip,
pancreato-,,stoneware,stone-ware,grizzly,
pano-,,stonework,stone-work,groan,
pant-,,stopwatch,stop-watch,grocery,
panta-,,storehouse,store-house,groom,
panto-,,storekeeper,store-keeper,ground,
papa-,,storyteller,story-teller,group,
papulo-,,storytelling,story-telling,grow,
Papuo-,,stowaway,stow-away,growl,
papyro-,,straightedge,straight-edge,grown-up,
para-,,straightforward,straight-forward,growth,
pari-,,strawberry,straw-berry,guard,
parieto-,,streamline,stream-line,guess,
parthen-,,streetcar,street-car,guest,
partheno-,,strongbox,strong-box,guide,
parvo-,,stronghold,strong-hold,guitar,
patello-,,suitcase,suit-case,gum,
path-,,summertime,summer-time,gun,
patho-,,sunbonnet,sun-bonnet,guy,
patr-,,sunburn,sun-burn,gym,
patri-,,sundial,sun-dial,h,
pauci-,,sundown,sun-down,habit,
pebi-,,sundress,sun-dress,had,
pedi-,,sunfish,sun-fish,hadn't,
pedo-,,sunflower,sun-flower,hail,
peg-,,sunglasses,sun-glasses,hair,
peloro-,,sunlight,sun-light,hairy,
pene-,,sunrise,sun-rise,half,
peno-,,sunset,sun-set,hall,
pent-,,sunshine,sun-shine,hallway,
penta-,,sunspot,sun-spot,ham,
pentadeca-,,sunstroke,sun-stroke,hamburger,
pentakis-,,sunup,sun-up,hammer,
pentaprismo-,,supercharge,super-charge,hamster,
penti-,,supercollider,super-collider,hand,
per-,,supercomputer,super-computer,handful,
perfluoro-,,superconductor,super-conductor,handkerchief,
peri-,,superfood,super-food,handle,
perineo-,,supergiant,super-giant,handmade,
perma-,,superglue,super-glue,handsome,
peroxy-,,superheavyweight,super-heavy-weight,handwriting,
Perso-,,superhero,super-hero,hang,
peta-,,superhighway,super-high-way,happen,
petro-,,superhuman,super-human,happiness,
phaco-,,superimpose,super-impose,happy,
phaeo-,,superman,super-man,harbor,
phago-,,supermarket,super-market,hard,
phako-,,supernatural,super-natural,hardware,
phallo-,,supernova,super-nova,harm,
pharma-,,supertanker,super-tanker,harmful,
pharmaco-,,superuser,super-user,harmless,
pharyngo-,,superwoman,super-woman,harness,
phen-,,surfboard,surf-board,harp,
pheno-,,swallowtail,swallow-tail,harvest,
pheo-,,sweatshirt,sweat-shirt,has,
phil-,,sweetheart,sweet-heart,hasn't,
philo-,,swimsuit,swim-suit,hat,
phlebo-,,swordfish,sword-fish,hatch,
phon-,,tablecloth,table-cloth,hatchet,
phono-,,tableland,table-land,hate,
phosph-,,tablespoon,table-spoon,haul,
phospha-,,tabletop,table-top,have,
phospho-,,tailback,tail-back,haven't,
phosphoro-,,tailspin,tail-spin,hawk,
phot-,,takeaway,take-away,hay,
photo-,,takeoff,take-off,he,
phragmo-,,takeout,take-out,he'll,
phren-,,takeover,take-over,head,
phreni-,,tapeworm,tape-worm,headache,
phrenico-,,tattletale,tattle-tale,headline,
phreno-,,taxicab,taxi-cab,headquarters,
phyco-,,teacake,tea-cake,heal,
phyllo-,,teacup,tea-cup,health,
phylo-,,teammate,team-mate,heap,
physi-,,teapot,tea-pot,hear,
physico-,,teardrop,tear-drop,heard,
physio-,,tearjerker,tear-jerker,heart,
phyto-,,tearoom,tea-room,heat,
pico-,,teashop,tea-shop,heaven,
picro-,,teaspoon,tea-spoon,heavy,
Picto-,,teatime,tea-time,heel,
piezo-,,telltale,tell-tale,height,
pilo-,,textbook,text-book,held,
pisci-,,thanksgiving,thanks-giving,helicopter,
pitheco-,,themselves,them-selves,hell,
placento-,,thighbone,thigh-bone,hello,
placo-,,thoroughbred,thorough-bred,helmet,
plagio-,,thoroughfare,thorough-fare,help,
planeto-,,threadbare,thread-bare,helpful,
plani-,,throughout,through-out,hen,
plano-,,thumbnail,thumb-nail,her,
plasto-,,thunderbolt,thunder-bolt,herd,
platini-,,thunderclap,thunder-clap,here,
platino-,,thundercloud,thunder-cloud,hero,
platinoso-,,thunderstorm,thunder-storm,herself,
platy-,,thunderstruck,thunder-struck,hi-fi,
pleio-,,tideland,tide-land,hid,
pleo-,,tightrope,tight-rope,hidden,
plesio-,,timecard,time-card,hide,
pleuro-,,timekeeper,time-keeper,hide-and-seek,
plumb-,,timeline,time-line,hideout,
plumbo-,,timeout,time-out,high,
pluri-,,timepiece,time-piece,highway,
plusquam-,,timescale,time-scale,hike,
pluto-,,timesheet,time-sheet,hill,
pluvio-,,timetable,time-table,hilly,
pneum-,,timeworn,time-worn,him,
pneumat-,,tiptoe,tip-toe,himself,
pneumato-,,toadstool,toad-stool,hint,
pneumo-,,today,to-day,hip,
pneumon-,,toenail,toe-nail,hippo,
pneumono-,,tombstone,tomb-stone,hire,
pod-,,tomcat,tom-cat,his,
podo-,,toolbox,tool-box,history,
poecilo-,,toothbrush,tooth-brush,hit,
p�cilo-,,toothpaste,tooth-paste,hitch,
pogono-,,toothpick,tooth-pick,hive,
poikilo-,,topcoat,top-coat,ho,
Pok�-,,topflight,top-flight,hobble,
politico-,,topknot,top-knot,hobby,
Polono-,,topsail,top-sail,hockey,
poly-,,topside,top-side,hoe,
polydeoxy-,,topsoil,top-soil,hold,
polydeoxyribo-,,topspin,top-spin,holdup,
polymorpho-,,topstitch,top-stitch,hole,
polyribo-,,touchdown,touch-down,holiday,
porn-,,trademark,trade-mark,hollow,
porno-,,tradeoff,trade-off,holster,
poro-,,tradesman,trades-man,holy,
porta-,,tradeswoman,trades-woman,home,
porto-,,treadmill,tread-mill,homerun,
poseido-,,treetop,tree-top,homesick,
post-,,triggerfish,trigger-fish,homework,
posterio-,,troublemaker,trouble-maker,honest,
postero-,,trustworthy,trust-worthy,honey,
potam-,,tryout,try-out,honeybee,
potamo-,,tugboat,tug-boat,honk,
potassio-,,tumbledown,tumble-down,honor,
prae-,,tumbleweed,tumble-weed,hood,
pr�-,,turncoat,turn-coat,hoof,
praeter-,,turnout,turn-out,hook,
pr�ter-,,turnover,turn-over,hoot,
praseo-,,turnpike,turn-pike,hop,
pre-,,turnstile,turn-stile,hope,
pred-,,turtleneck,turtle-neck,hopscotch,
prepro-,,typeface,type-face,horn,
presby-,,typewriter,type-writer,horse,
presbyo-,,underachiever,under-achiever,hose,
preter-,,underarm,under-arm,hospital,
pristanoyl-,,underclothing,under-clothing,hot,
pro-,,undercook,under-cook,hotdog,
proct-,,undercover,under-cover,hotel,
procto-,,undercut,under-cut,hound,
prop-,,underdog,under-dog,hour,
prosop-,,underdone,under-done,house,
prosopo-,,undergo,under-go,housekeeper,
prot-,,underground,under-ground,housewife,
proteo-,,undergrowth,under-growth,how,
protero-,,underhand,under-hand,howl,
proto-,,undersea,under-sea,hug,
proximo-,,undershirt,under-shirt,huge,
Prusso-,,understand,under-stand,hum,
psammo-,,understated,under-stated,human,
pseph-,,undertake,under-take,hump,
psepho-,,undertaker,under-taker,hundred,
pseud-,,undervalue,under-value,hung,
pseudo-,,underwater,under-water,hunger,
psych-,,underwear,under-wear,hungry,
psycho-,,underweight,under-weight,hunk,
psychoto-,,underworld,under-world,hunt,
psychro-,,upbeat,up-beat,hurricane,
pterid-,,upbringing,up-bringing,hurry,
pterido-,,upcoming,up-coming,hurt,
ptero-,,update,up-date,husband,
pteryg-,,updraft,up-draft,hush,
pterygo-,,upgrade,up-grade,hut,
ptilo-,,uphill,up-hill,hymn,
pubo-,,uphold,up-hold,ice,
pur-,,upkeep,up-keep,iceberg,
purpureo-,,uplift,up-lift,icy,
py-,,upload,up-load,idea,
pycno-,,upon,upon,if,
pyelo-,,uppermost,upper-most,igloo,
pygo-,,upright,up-right,imagine,
pykno-,,uprising,up-rising,important,
pyloro-,,uproar,up-roar,impossible,
pyo-,,uproot,up-root,improve,
pyr-,,upset,up-set,in,
pyro-,,upstage,up-stage,inch,
pyrrh-,,upstairs,up-stairs,indeed,
pyrrolidino-,,upstanding,up-standing,indoors,
p?-,,upstart,up-start,industry,
qu-,,upstate,up-state,ink,
quad-,,upstream,up-stream,inn,
quadr-,,upswing,up-swing,insect,
quadri-,,uptake,up-take,inside,
quadro-,,uptown,up-town,inspection,
quadru-,,upturn,up-turn,instead,
quarter-,,upward,up-ward,intend,
quasi-,,upwelling,up-welling,interest,
qubi-,,upwind,up-wind,into,
quebi-,,username,user-name,introduce,
quecca-,,viewpoint,view-point,invent,
quecto-,,vineyard,vine-yard,inventor,
quetta-,,volleyball,volley-ball,invite,
quin-,,voltmeter,volt-meter,iron,
quinqu-,,waistcoat,waist-coat,is,
quinque-,,waistline,waist-line,island,
Qurano-,,walkingstick,walking-stick,isn't,
QV,,walkout,walk-out,ivory,
rac-,,walkway,walk-way,ivy,
race-,,wallflower,wall-flower,jack,
rachi-,,wallpaper,wall-paper,jack-o-lantern,
racio-,,wardrobe,wardrobe,jacket,
radio-,,warehouse,ware-house,jackpot,
rage-,,warfare,war-fare,jacks,
re-,,warmup,warm-up,jail,
rect-,,warpath,war-path,jam,
recti-,,warship,war-ship,janitor,
recto-,,washcloth,wash-cloth,jar,
regio-,,washstand,wash-stand,jaw,
religio-,,wasteland,waste-land,jawbone,
reno-,,watchdog,watch-dog,jay,
rept-,,waterbed,water-bed,jaywalker,
respiro-,,watercolor,water-color,jazz,
reticulo-,,watercress,water-cress,jeans,
retino-,,waterfall,water-fall,jeep,
retro-,,waterfowl,water-fowl,jelly,
rhabd-,,waterfront,water-front,jerk,
rhabdo-,,watermelon,water-melon,jet,
Rhaeto-,,waterproof,water-proof,jewel,
Rh�to-,,watershed,water-shed,jewelry,
rhamno-,,waterspout,water-spout,jig,
rheo-,,watertight,water-tight,join,
rhin-,,waterway,water-way,joke,
rhino-,,waterworks,water-works,jolly,
rhiz-,,wavelength,wave-length,jot,
rhizo-,,wayside,way-side,journey,
rhodo-,,weatherman,weather-man,joy,
rhombi-,,weatherproof,weather-proof,joyful,
rhyncho-,,weatherwoman,weather-woman,judge,
ribo-,,website,web-site,jug,
rifa-,,weekday,week-day,juice,
robi-,,weekend,week-end,juicy,
robo-,,weightlifter,weight-lifter,jump,
Romano-,,weightlifting,weight-lifting,jungle,
ronna-,,well-wetland,well-wet-land,junk,
ronto-,,wetsuit,wet-suit,just,
rostro-,,whatever,whatever,kangaroo,
roto-,,whatsoever,what-so-ever,keep,
Ruando-,,wheelbarrow,wheel-bar-row,kept,
rufo-,,wheelchair,wheel-chair,ketchup,
Russo-,,whenever,when-ever,kettle,
ruthenio-,,whereas,where-as,key,
rutheno-,,whereby,where-by,kick,
s-,,whereupon,where-upon,kid,
saccharo-,,wherewith,where-with,kidnap,
sacculo-,,wherewithal,where-withal,kill,
sacr-,,whichever,which-ever,kind,
sacro-,,whirlpool,whirl-pool,kindergarten,
Saharo-,,whirlwind,whirl-wind,kindness,
Sahelo-,,whitefish,white-fish,king,
saint,,whitewall,white-wall,kiss,
sal-,,whitewash,white-wash,kit,
salazo-,,whoever,who-ever,kitchen,
salping-,,wholehearted,whole-hearted,kite,
salpingo-,,wholesale,whole-sale,kitten,
sangui-,,whomever,whom-ever,kitty,
sapo-,,widescreen,wide-screen,knee,
sapon-,,widespread,wide-spread,kneel,
sapr-,,wildcat,wild-cat,knew,
sapro-,,wildfire,wild-fire,knife,
sarc-,,wildflower,wild-flower,knight,
sarco-,,wildlife,wild-life,knit,
sauro-,,windbreaker,wind-breaker,knives,
Saxo-,,windfall,wind-fall,knob,
Scando-,,windmill,wind-mill,knock,
scapho-,,windowpane,window-pane,know,
scapulo-,,windowsill,window-sill,known,
scato-,,windpipe,wind-pipe,lace,
sch-,,windshield,wind-shield,lad,
schiz-,,windsock,wind-sock,ladder,
schizo-,,windstorm,wind-storm,lady,
schm-,,windswept,wind-swept,laid,
scientifico-,,windward,wind-ward,lake,
sclero-,,wingspan,wing-span,lamb,
scopol-,,wingspread,wing-spread,lame,
scoto-,,wintertime,winter-time,lamp,
Scoto-,,wiretap,wire-tap,land,
Scotto-,,wisecrack,wise-crack,lane,
scroto-,,wishbone,wish-bone,language,
Scytho-,,witchcraft,witch-craft,lantern,
sec-,,withdraw,with-draw,lap,
seismo-,,withhold,with-hold,large,
selen-,,within,with-in,last,
selenio-,,without,with-out,late,
seleno-,,withstand,with-stand,laugh,
self-,,wolfhound,wolf-hound,laundry,
semanto-,,wolfsbane,wolf-s-bane,law,
semi-,,wonderland,wonder-land,lawn,
semio-,,woodchuck,wood-chuck,lawyer,
semper-,,woodcutter,wood-cutter,lay,
sept-,,woodland,wood-land,lazy,
septa-,,woodpecker,wood-pecker,lead,
septi-,,woodsman,woods-man,leaf,
septo-,,woodwork,wood-work,leak,
septua-,,workbook,work-book,lean,
Serbo-,,workday,work-day,leap,
sero-,,workhorse,work-horse,learn,
sesqui-,,workman,work-man,leather,
sex-,,workout,work-out,leave,
sexa-,,workplace,work-place,leaves,
sexuo-,,workroom,work-room,led,
sh-,,workshop,work-shop,left,
she-,,workstation,work-station,leg,
shm-,,worktable,work-table,lemon,
sialo-,,worldwide,world-wide,lemonade,
Siamo-,,worthwhile,worth-while,lend,
Siculo-,,wristwatch,wrist-watch,length,
sidero-,,wrongdoing,wrong-doing,lens,
silici-,,yachtsman,yacht-s-man,leopard,
silico-,,yachtswoman,yacht-s-woman,less,
simio-,,yardarm,yard-arm,lesson,
sinistro-,,yardstick,yard-stick,let,
Sino-,,yearbook,year-book,letter,
sino-,,yellowtail,yellow-tail,lettuce,
siphono-,,yourself,your-self,level,
sito-,,zigzag,zig-zag,liar,
skeleto-,,zookeeper,zoo-keeper,liberty,
skoto-,,,,librarian,
Slavo-,,,,library,
Slovako-,,,,lick,
Sloveno-,,,,lid,
socio-,,,,lie,
sodio-,,life,
soleno-,,lifeboat,
somato-,,lifeguard,
somno-,,lift,
sono-,,light,
spatio-,,lighthouse,
spectro-,,lightness,
speleo-,,lightning,
spermato-,,like,
sphen-,,lily,
spheno-,,limb,
spherico-,,lime,
sphero-,,line,
sphinctero-,,linen,
sphygm-,,lion,
sphygmo-,,lip,
spino-,,lipstick,
spiro-,,liquor,
splanchno-,,list,
spleno-,,listen,
spondyl-,,litterbug,
spondylo-,,little,
spongo-,,live,
spor-,,liver,
spori-,,lizard,
sporo-,,load,
squamo-,,loaf,
stann-,,loan,
stanno-,,loaves,
stannoso-,,lobster,
staphylo-,,lock,
stato-,,log,
stauro-,,lollipop,
steato-,,lone,
stello-,,lonesome,
steno-,,long,
step-,,look,
stereo-,,loop,
stern-,,loose,
sterno-,,lord,
steth-,,lose,
stetho-,,loss,
stib-,,lost,
stibio-,,lot,
stibo-,,lotion,
sticho-,,loud,
stomato-,,loudspeaker,
strato-,,love,
strepto-,,low,
striato-,,lower,
stygo-,,luck,
stylo-,,lucky,
sub-,,luggage,
succin-,,lullaby,
sucr-,,lumber,
sucro-,,lump,
Sudano-,,lunch,
Sueco-,,lung,
sulf-,,luxury,
sulfa-,,lying,
sulfo-,,ma,
sulfonio-,,macaroni,
sulph-,,machine,
sulpha-,,mad,
sulpho-,,made,
sulphonio-,,magazine,
sulphureo-,,magic,
Sumero-,,magnet,
super-,,maid,
supero-,,mail,
supra-,,mailman,
sur-,,major,
sursum-,,majorette,
Swedo-,,make,
syl-,,make-believe,
sym-,,male,
symmetro-,,mama,
sympatho-,,man,
syn-,,manager,
synapto-,,mane,
synchro-,,mange,
syphilo-,,manners,
syringo-,,many,
Syro-,,map,
T,,maple,
T,,marble,
t-,,march,
T-,,mark,
tachi-,,market,
tacho-,,marriage,
tachy-,,marry,
Tagalo-,,marvelous,
talo-,,mash,
tapho-,,mask,
tars-,,master,
tarso-,,match,
tartro-,,mate,
Tataro-,,matter,
taut-,,mattress,
tauto-,,may,
tax-,,maybe,
taxi-,,mayor,
taxo-,,me,
tebi-,,meadow,
techni-,,meal,
techno-,,mean,
tecn-,,meaning,
tecno-,,measure,
tecto-,,meat,
tectono-,,medicine,
tekn-,,meet,
tele-,,melon,
teleio-,,melt,
teleo-,,member,
tellur-,,memorize,
telluri-,,memory,
telluro-,,men,
telo-,,mend,
temporo-,,mention,
tendo-,,menu,
teno-,,meow,
tephro-,,merchant,
ter-,,mermaid,
tera-,,merry,
terato-,,merry-go-round,
tert-,,mess,
tessara-,,message,
testiculo-,,messenger,
tetr-,,met,
tetra-,,metal,
tetracosa-,,meter,
tetradeca-,,mice,
tetrakaideca-,,microphone,
tetrakaideka-,,middle,
tetrakis-,,midget,
Teuto-,,midnight,
Teutono-,,midsummer,
th-,,might,
thalamo-,,mighty,
thalass-,,mile,
thalasso-,,milk,
thanato-,,milkshake,
thaumat-,,mill,
thaumato-,,million,
the-,,millionaire,
theo-,,mind,
theri-,,mine,
therio-,,miner,
therm-,,minister,
thermo-,,mink,
thero-,,minnow,
thi-,,mint,
thia-,,minute,
thigmo-,,miracle,
thio-,,mirror,
thoraco-,,misery,
Thraco-,,mislay,
thre-,,misplace,
threo-,,misprint,
thromb-,,miss,
thrombo-,,missile,
thymo-,,misspell,
thyr-,,mist,
thyreo-,,mistake,
thyro-,,mister,
Tibeto-,,misty,
tibio-,,mitt,
titano-,,mitten,
to-,,mix,
toco-,,mixture,
toko-,,mob,
tomo-,,model,
tono-,,modern,
tonsillo-,,moist,
topo-,,moisture,
Tosco-,,mom,
tox-,,moment,
toxi-,,money,
toxico-,,monkey,
toxo-,,monster,
trachel-,,month,
trachelo-,,moo,
tracheo-,,moon,
trans-,,moonlight,
tri-,,moose,
tribo-,,mop,
tricho-,,more,
trideca-,,morning,
trihydro-,,most,
tris-,,motel,
triskaideca-,,moth,
triskaideka-,,mother,
trit-,,motion,
trito-,,motor,
trocho-,,motorcycle,
trop-,,mountain,
tropho-,,mouse,
tropo-,,mouth,
tru-,,movable,
trypano-,,move,
tubo-,,moveable,
tubul-,,movie,
tubulo-,,much,
tungsto-,,mud,
turbo-,,muffin,
Turco-,,mule,
Turkmeno-,,multiplication,
Turko-,,multiply,
twi-,,mumps,
tympan-,,murder,
tympano-,,museum,
typhl-,,mush,
typhlo-,,mushroom,
tyranno-,,music,
tyro-,,musical,
uber-,,musician,
�ber-,,must,
udi-,,mustard,
Ugando-,,mustn't,
Ugro-,,my,
Ukraino-,,myself,
Ukro-,,mystery,
ulcero-,,nail,
ulno-,,name,
ultra-,,nap,
um-,,napkin,
umb-,,narrow,
umbe-,,nasty,
umbilic-,,nation,
umbilico-,,nature,
Umbro-,,naughty,
un-,,navy,
undeca-,,near,
under-,,nearby,
uni-,,neat,
up-,,neatness,
ur-,,necessary,
Uralo-,,neck,
uran-,,necklace,
urano-,,necktie,
uranoso-,,need,
ureido-,,needle,
ureo-,,needn't,
uretero-,,negro,
urethr-,,neighbor,
urethro-,,neighborhood,
urino-,,neither,
uro-,,nerve,
utero-,,nest,
Uto-,,net,
utriculo-,,never,
uveo-,,new,
uvul-,,newborn,
uvulo-,,newcomer,
Uzbeco-,,news,
V-,,newscast,
vacci-,,newspaper,
vagino-,,next,
vago-,,nibble,
valero-,,nice,
vari-,,nickel,
varic-,,nickname,
varico-,,night,
vas-,,nightfall,
vasculo-,,nightmare,
vaso-,,nighttime,
vegeto-,,nine,
velo-,,nineteen,
ven-,,ninety,
veni-,,ninth,
veno-,,nipple,
ventri-,,nobody,
ventriculo-,,nod,
ventro-,,noise,
vermi-,,none,
vertebro-,,noodle,
vesico-,,noon,
vesiculo-,,normal,
vestibulo-,,north,
vexillo-,,northern,
vibro-,,nose,
vice-,,not,
video-,,note,
vigen-,,nothing,
viginti-,,notice,
vin-,,now,
viri-,,nowhere,
viro-,,number,
viscero-,,nurse,
visco-,,nursery,
visuo-,,nut,
vitello-,,o'clock,
vitreo-,,oak,
vulvo-,,oar,
wan-,,oatmeal,
war-,,oats,
were-,,obey,
where-,,ocean,
with-,,octopus,
wither-,,odd,
Wo,,of,
x-,,off,
X.,,offer,
xanth-,,office,
xantho-,,often,
xen-,,oh,
xenna-,,oil,
xenno-,,okay,
xeno-,,old,
xer-,,on,
xeri-,,once,
xero-,,one,
xipho-,,one-fourth,
XP,,one-way,
xyl-,,oneself,
xylo-,,onion,
xyr-,,only,
xyro-,,onward,
y-,,onwards,
yester-,,open,
yobi-,,operator,
yocto-,,opossum,
yotta-,,or,
yttro-,,orange,
Yugo-,,orbit,
z-,,orchard,
zebi-,,order,
zeno-,,ordinary,
zepto-,,organ,
zetta-,,orphan,
zinco-,,ostrich,
zirco-,,other,
zo-,,ouch,
zono-,,ought,
zoo-,,ounce,
zo�-,,our,
zyg-,,ourselves,
zygo-,,out,
zygomatico-,,outdoors,
zym-,,outer,
zymo-,,outlaw,
?-,,outline,
?-,,outside,
,,oven,
,,over,
,,overalls,
,,overboard,
,,overcoat,
,,overdo,
,,overdone,
,,overeat,
,,overflow,
,,overhead,
,,overnight,
,,overseas,
,,overtime,
,,overweight,
,,owe,
,,owl,
,,own,
,,pack,
,,package,
,,pad,
,,page,
,,paid,
,,pail,
,,pain,
,,painful,
,,paint,
,,pair,
,,pajamas,
,,pal,
,,palace,
,,pale,
,,pan,
,,pancake,
,,panda,
,,pants,
,,papa,
,,paper,
,,parade,
,,pardon,
,,parent,
,,park,
,,parrot,
,,part,
,,partner,
,,partnership,
,,party,
,,pass,
,,passenger,
,,password,
,,past,
,,paste,
,,pasture,
,,pat,
,,patch,
,,path,
,,pave,
,,paw,
,,pay,
,,payment,
,,pea,
,,peace,
,,peaceful,
,,peach,
,,peacock,
,,peak,
,,peanut,
,,pear,
,,pearl,
,,pecan,
,,peck,
,,peek,
,,peel,
,,peep,
,,peg,
,,pen,
,,pencil,
,,penguin,
,,penny,
,,people,
,,pep,
,,pepper,
,,peppermint,
,,peppy,
,,perfume,
,,perhaps,
,,period,
,,permit,
,,person,
,,personal,
,,pest,
,,pet,
,,phone,
,,phonograph,
,,photo,
,,photograph,
,,piano,
,,pick,
,,pickle,
,,picnic,
,,picture,
,,pie,
,,piece,
,,pig,
,,pigeon,
,,pile,
,,pilgrim,
,,pill,
,,pillow,
,,pilot,
,,pimple,
,,pin,
,,pine,
,,pineapple,
,,ping-pong,
,,pink,
,,pint,
,,pioneer,
,,pipe,
,,pistol,
,,pit,
,,pitch,
,,pitcher,
,,pitiful,
,,pity,
,,pizza,
,,place,
,,plain,
,,plan,
,,plane,
,,planet,
,,plant,
,,plantation,
,,plaster,
,,plate,
,,play,
,,playful,
,,playground,
,,playhouse,
,,playmate,
,,plaything,
,,pleasant,
,,please,
,,pleasure,
,,plenty,
,,plow,
,,plug,
,,plum,
,,plumber,
,,plus,
,,pocket,
,,pocketbook,
,,poem,
,,point,
,,poison,
,,poke,
,,pole,
,,police,
,,policeman,
,,polite,
,,pond,
,,pony,
,,poodle,
,,pool,
,,poor,
,,pop,
,,popcorn,
,,poppy,
,,porch,
,,pork,
,,pose,
,,possible,
,,post,
,,postage,
,,postman,
,,postmark,
,,postpone,
,,pot,
,,potato,
,,potatoes,
,,pottery,
,,pound,
,,pour,
,,powder,
,,power,
,,powerful,
,,prairie,
,,praise,
,,pray,
,,prayer,
,,prepare,
,,present,
,,preserver,
,,president,
,,press,
,,pretend,
,,pretty,
,,prevent,
,,price,
,,primary,
,,prince,
,,princess,
,,print,
,,prison,
,,private,
,,prize,
,,problem,
,,program,
,,promise,
,,promote,
,,proof,
,,property,
,,protect,
,,proud,
,,prove,
,,prune,
,,public,
,,puddle,
,,puff,
,,pull,
,,pump,
,,pumpkin,
,,punch,
,,punish,
,,pup,
,,pupil,
,,puppet,
,,puppy,
,,pure,
,,purple,
,,purse,
,,push,
,,puss,
,,pussy,
,,put,
,,puzzle,
,,quack,
,,quarrel,
,,quart,
,,quarter,
,,quarterback,
,,queen,
,,queer,
,,question,
,,quick,
,,quickly,
,,quiet,
,,quilt,
,,quit,
,,quite,
,,rabbit,
,,raccoon,
,,race,
,,rack,
,,radio,
,,radish,
,,rag,
,,rail,
,,railroad,
,,rain,
,,rainbow,
,,raindrop,
,,rainy,
,,raise,
,,raisin,
,,rake,
,,ram,
,,ran,
,,ranch,
,,rang,
,,range,
,,rascal,
,,rat,
,,rate,
,,rather,
,,rattle,
,,rattlesnake,
,,raw,
,,ray,
,,rayon,
,,razor,
,,reach,
,,read,
,,ready,
,,real,
,,really,
,,rear,
,,reason,
,,rebuild,
,,receive,
,,recess,
,,record,
,,red,
,,redbird,
,,redbreast,
,,reflect,
,,refresh,
,,refreshment,
,,refrigerator,
,,refuse,
,,register,
,,reindeer,
,,rejoice,
,,rejoin,
,,related,
,,religion,
,,remain,
,,remember,
,,remind,
,,remove,
,,rent,
,,repair,
,,repay,
,,repeat,
,,report,
,,respect,
,,rest,
,,restaurant,
,,restroom,
,,retire,
,,return,
,,review,
,,reward,
,,rhyme,
,,rib,
,,ribbon,
,,rice,
,,rich,
,,rid,
,,riddle,
,,ride,
,,right,
,,rim,
,,ring,
,,rip,
,,ripe,
,,rise,
,,river,
,,road,
,,roar,
,,roast,
,,rob,
,,robber,
,,robbery,
,,robe,
,,robin,
,,rock,
,,rocket,
,,rocky,
,,rode,
,,roll,
,,roller,
,,romance,
,,roof,
,,room,
,,rooster,
,,root,
,,rope,
,,rose,
,,rot,
,,rotten,
,,rough,
,,round,
,,route,
,,row,
,,rowboat,
,,royal,
,,rub,
,,rubber,
,,rug,
,,rule,
,,run,
,,rung,
,,rush,
,,rust,
,,rusty,
,,sack,
,,sad,
,,saddle,
,,sadness,
,,safe,
,,safety,
,,said,
,,sail,
,,sailboat,
,,sailor,
,,saint,
,,salad,
,,sale,
,,salt,
,,same,
,,sample,
,,sand,
,,sandwich,
,,sandy,
,,sang,
,,sank,
,,sap,
,,sat,
,,satisfactory,
,,sauce,
,,saucer,
,,sausage,
,,save,
,,savings,
,,saw,
,,sawdust,
,,say,
,,scab,
,,scale,
,,scalp,
,,scamper,
,,scare,
,,scarecrow,
,,scarf,
,,scary,
,,scatter,
,,school,
,,schoolboy,
